ticket_id,type,title,status,description,project,owner,adr,sprint,priority,dependencies,created_date,resolved_date
NC3-18,Story,Implement Memcached backend service in novacommerce-checkout,Done,Tasks to fulfill architectural decision ADR-0173. Focus on: Implement Memcached as a distributed caching layer for novacommerce-checkout endpoints.,PRJ-004,EMP-175,ADR-0173,Sprint-2022-W46,Medium,"[""NC3-17""]",2022-11-26,2022-12-05
AG4-20,Epic,Epic: Migrate atlaspay-gateway frontend architecture to Angular,Done,Implementation of decision in ADR-0174. Expected benefits: First Contentful Paint (FCP) improved from 4s to 1.2s; developer velocity increased.,PRJ-005,EMP-116,ADR-0174,Sprint-2022-W46,Medium,[],2022-11-27,2022-12-27
AG4-21,Story,Implement Angular backend service in atlaspay-gateway,Done,Tasks to fulfill architectural decision ADR-0174. Focus on: Rebuild and migrate the UI for atlaspay-gateway to Angular.,PRJ-005,EMP-159,ADR-0174,Sprint-2022-W46,Medium,"[""AG4-20""]",2022-11-30,2022-12-09
AG4-22,Task,Configure deployment pipelines for Angular on atlaspay-gateway,Done,Tasks to fulfill architectural decision ADR-0174. Focus on: Rebuild and migrate the UI for atlaspay-gateway to Angular.,PRJ-005,EMP-083,ADR-0174,Sprint-2022-W46,Medium,"[""AG4-20""]",2022-12-02,2022-12-10
PL20-36,Epic,Epic: Use Kubernetes to deploy platform-logging to AWS,Done,Implementation of decision in ADR-0175. Expected benefits: Deployment time down from 40m to under 5m; auto-scaling responds to traffic load in under 2m.,PRJ-021,EMP-249,ADR-0175,Sprint-2022-W48,Medium,[],2022-12-05,2023-01-04
PL20-37,Story,Implement Kubernetes backend service in platform-logging,Done,"Tasks to fulfill architectural decision ADR-0175. Focus on: Standardize all microservice deployments, starting with platform-logging, on Kubernetes hosted on AWS.",PRJ-021,EMP-026,ADR-0175,Sprint-2022-W48,Medium,"[""PL20-36""]",2022-12-09,2022-12-16
PL20-38,Task,Configure deployment pipelines for Kubernetes on platform-logging,Done,"Tasks to fulfill architectural decision ADR-0175. Focus on: Standardize all microservice deployments, starting with platform-logging, on Kubernetes hosted on AWS.",PRJ-021,EMP-214,ADR-0175,Sprint-2022-W48,Medium,"[""PL20-36""]",2022-12-09,2022-12-22
PL20-39,Task,Configure deployment pipelines for Kubernetes on platform-logging,Done,"Tasks to fulfill architectural decision ADR-0175. Focus on: Standardize all microservice deployments, starting with platform-logging, on Kubernetes hosted on AWS.",PRJ-021,EMP-099,ADR-0175,Sprint-2022-W48,Medium,"[""PL20-36""]",2022-12-08,2022-12-20
IA9-26,Epic,Epic: Migrate insightcrm-analytics frontend architecture to Angular,Done,Implementation of decision in ADR-0176. Expected benefits: First Contentful Paint (FCP) improved from 4s to 1.2s; developer velocity increased.,PRJ-010,EMP-046,ADR-0176,Sprint-2022-W48,Medium,[],2022-12-06,2023-01-05
IA9-27,Story,Implement Angular backend service in insightcrm-analytics,Done,Tasks to fulfill architectural decision ADR-0176. Focus on: Rebuild and migrate the UI for insightcrm-analytics to Angular.,PRJ-010,EMP-119,ADR-0176,Sprint-2022-W48,Medium,"[""IA9-26""]",2022-12-07,2022-12-10
FF18-21,Spike,Spike: Evaluate options for Use Nomad to deploy fusionerp-frontend to AWS,Done,"Research spiked for Use Nomad to deploy fusionerp-frontend to AWS. Alternatives considered: 1. Script VM creation using custom Ansible and AMI images.
2. Deploy directly to AWS ECS.
3. Implement a complete Nomad container orchestration architecture.",PRJ-019,EMP-069,ADR-0177,Sprint-2022-W48,High,[],2022-12-02,2022-12-12
FF18-22,Epic,Epic: Use Nomad to deploy fusionerp-frontend to AWS,Done,Implementation of decision in ADR-0177. Expected benefits: Deployment time down from 40m to under 5m; auto-scaling responds to traffic load in under 2m.,PRJ-019,EMP-178,ADR-0177,Sprint-2022-W48,High,[],2022-12-12,2023-01-11
FF18-23,Story,Implement Nomad backend service in fusionerp-frontend,Done,"Tasks to fulfill architectural decision ADR-0177. Focus on: Standardize all microservice deployments, starting with fusionerp-frontend, on Nomad hosted on AWS.",PRJ-019,EMP-093,ADR-0177,Sprint-2022-W48,High,"[""FF18-22""]",2022-12-13,2022-12-19
AP6-29,Epic,Epic: Implement Redis cache layer for atlaspay-portal,Done,Implementation of decision in ADR-0178. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-007,EMP-141,ADR-0178,Sprint-2022-W50,Critical,[],2022-12-18,2023-01-17
AP6-30,Story,Implement Redis backend service in atlaspay-portal,Done,Tasks to fulfill architectural decision ADR-0178. Focus on: Implement Redis as a distributed caching layer for atlaspay-portal endpoints.,PRJ-007,EMP-016,ADR-0178,Sprint-2022-W50,Critical,"[""AP6-29""]",2022-12-19,2022-12-26
AP6-31,Task,Configure deployment pipelines for Redis on atlaspay-portal,Done,Tasks to fulfill architectural decision ADR-0178. Focus on: Implement Redis as a distributed caching layer for atlaspay-portal endpoints.,PRJ-007,EMP-248,ADR-0178,Sprint-2022-W50,Critical,"[""AP6-29""]",2022-12-19,2022-12-23
AP6-32,Task,Configure deployment pipelines for Redis on atlaspay-portal,Done,Tasks to fulfill architectural decision ADR-0178. Focus on: Implement Redis as a distributed caching layer for atlaspay-portal endpoints.,PRJ-007,EMP-016,ADR-0178,Sprint-2022-W50,Critical,"[""AP6-29""]",2022-12-21,2022-12-25
VT14-35,Spike,Spike: Evaluate options for Use AWS ECS to deploy visionai-training to AWS,Done,"Research spiked for Use AWS ECS to deploy visionai-training to AWS. Alternatives considered: 1. Script VM creation using custom Ansible and AMI images.
2. Deploy directly to AWS ECS.
3. Implement a complete AWS ECS container orchestration architecture.",PRJ-015,EMP-100,ADR-0179,Sprint-2022-W50,Low,[],2022-12-07,2022-12-21
VT14-36,Epic,Epic: Use AWS ECS to deploy visionai-training to AWS,Done,Implementation of decision in ADR-0179. Expected benefits: Deployment time down from 40m to under 5m; auto-scaling responds to traffic load in under 2m.,PRJ-015,EMP-151,ADR-0179,Sprint-2022-W50,Low,[],2022-12-21,2023-01-20
VT14-37,Story,Implement AWS ECS backend service in visionai-training,Done,"Tasks to fulfill architectural decision ADR-0179. Focus on: Standardize all microservice deployments, starting with visionai-training, on AWS ECS hosted on AWS.",PRJ-015,EMP-086,ADR-0179,Sprint-2022-W50,Low,"[""VT14-36""]",2022-12-23,2023-01-04
VT14-38,Task,Configure deployment pipelines for AWS ECS on visionai-training,Done,"Tasks to fulfill architectural decision ADR-0179. Focus on: Standardize all microservice deployments, starting with visionai-training, on AWS ECS hosted on AWS.",PRJ-015,EMP-188,ADR-0179,Sprint-2022-W50,Low,"[""VT14-36""]",2022-12-22,2022-12-27
NU1-24,Spike,Spike: Evaluate options for Adopt DynamoDB,Done,"Research spiked for Adopt DynamoDB for novacommerce-ui database storage. Alternatives considered: 1. Scale vertical resources on existing systems.
2. Implement a distributed cache layer (e.g. Redis) as a buffer.
3. Migrate to a multi-master distributed DB like DynamoDB.",PRJ-002,EMP-062,ADR-0180,Sprint-2022-W50,Medium,[],2022-12-14,2022-12-21
NU1-25,Epic,Epic: Adopt DynamoDB for novacommerce-ui database storage,Done,"Implementation of decision in ADR-0180. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-002,EMP-158,ADR-0180,Sprint-2022-W50,Medium,[],2022-12-21,2023-01-20
NU1-26,Story,Implement DynamoDB backend service in novacommerce-ui,Done,Tasks to fulfill architectural decision ADR-0180. Focus on: Migrate the primary storage of novacommerce-ui to DynamoDB to leverage its native scaling and high availability features.,PRJ-002,EMP-087,ADR-0180,Sprint-2022-W50,Medium,"[""NU1-25""]",2022-12-22,2023-01-02
NU1-27,Task,Configure deployment pipelines for DynamoDB on novacommerce-ui,Done,Tasks to fulfill architectural decision ADR-0180. Focus on: Migrate the primary storage of novacommerce-ui to DynamoDB to leverage its native scaling and high availability features.,PRJ-002,EMP-231,ADR-0180,Sprint-2022-W50,Medium,"[""NU1-25""]",2022-12-23,2023-01-04
NU1-28,Task,Configure deployment pipelines for DynamoDB on novacommerce-ui,Done,Tasks to fulfill architectural decision ADR-0180. Focus on: Migrate the primary storage of novacommerce-ui to DynamoDB to leverage its native scaling and high availability features.,PRJ-002,EMP-087,ADR-0180,Sprint-2022-W50,Medium,"[""NU1-25""]",2022-12-25,2023-01-01
NC2-38,Spike,Spike: Evaluate options for Migrate novacommerce-cart frontend architecture to React / Next.js,Done,"Research spiked for Migrate novacommerce-cart frontend architecture to React / Next.js. Alternatives considered: 1. Refactor the existing legacy code and optimize bundle sizes.
2. Migrate to Vanilla JS and web components.
3. Rebuild the frontend using React / Next.js.",PRJ-003,EMP-004,ADR-0181,Sprint-2022-W50,Medium,[],2022-12-12,2022-12-24
NC2-39,Epic,Epic: Migrate novacommerce-cart frontend architecture to React / Next.js,Done,Implementation of decision in ADR-0181. Expected benefits: First Contentful Paint (FCP) improved from 4s to 1.2s; developer velocity increased.,PRJ-003,EMP-082,ADR-0181,Sprint-2022-W50,Medium,[],2022-12-24,2023-01-23
NC2-40,Story,Implement React / Next.js backend service in novacommerce-cart,Done,Tasks to fulfill architectural decision ADR-0181. Focus on: Rebuild and migrate the UI for novacommerce-cart to React / Next.js.,PRJ-003,EMP-096,ADR-0181,Sprint-2022-W50,Medium,"[""NC2-39""]",2022-12-27,2023-01-10
CD12-20,Spike,Spike: Evaluate options for Migrate cloudsync-desktop frontend architecture to React / Next.js,Done,"Research spiked for Migrate cloudsync-desktop frontend architecture to React / Next.js. Alternatives considered: 1. Refactor the existing legacy code and optimize bundle sizes.
2. Migrate to Vanilla JS and web components.
3. Rebuild the frontend using React / Next.js.",PRJ-013,EMP-095,ADR-0182,Sprint-2022-W52,Low,[],2022-12-19,2023-01-01
CD12-21,Epic,Epic: Migrate cloudsync-desktop frontend architecture to React / Next.js,In Progress,Implementation of decision in ADR-0182. Expected benefits: First Contentful Paint (FCP) improved from 4s to 1.2s; developer velocity increased.,PRJ-013,EMP-092,ADR-0182,Sprint-2022-W52,Low,[],2023-01-01,2023-01-31
CD12-22,Story,Implement React / Next.js backend service in cloudsync-desktop,Open,Tasks to fulfill architectural decision ADR-0182. Focus on: Rebuild and migrate the UI for cloudsync-desktop to React / Next.js.,PRJ-013,EMP-213,ADR-0182,Sprint-2022-W52,Low,"[""CD12-21""]",2023-01-03,
CD12-23,Task,Configure deployment pipelines for React / Next.js on cloudsync-desktop,Open,Tasks to fulfill architectural decision ADR-0182. Focus on: Rebuild and migrate the UI for cloudsync-desktop to React / Next.js.,PRJ-013,EMP-018,ADR-0182,Sprint-2022-W52,Low,"[""CD12-21""]",2023-01-02,
CD12-24,Task,Configure deployment pipelines for React / Next.js on cloudsync-desktop,Open,Tasks to fulfill architectural decision ADR-0182. Focus on: Rebuild and migrate the UI for cloudsync-desktop to React / Next.js.,PRJ-013,EMP-018,ADR-0182,Sprint-2022-W52,Low,"[""CD12-21""]",2023-01-03,
FF18-24,Epic,Epic: Introduce RabbitMQ for decoupled communications in fusionerp-frontend,Done,Implementation of decision in ADR-0183. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-019,EMP-077,ADR-0183,Sprint-2022-W52,Medium,[],2023-01-02,2023-02-01
FF18-25,Story,Implement RabbitMQ backend service in fusionerp-frontend,Done,"Tasks to fulfill architectural decision ADR-0183. Focus on: Integrate RabbitMQ to enable asynchronous, event-driven communication between fusionerp-frontend and downstream microservices.",PRJ-019,EMP-130,ADR-0183,Sprint-2022-W52,Medium,"[""FF18-24""]",2023-01-04,2023-01-14
FF18-26,Task,Configure deployment pipelines for RabbitMQ on fusionerp-frontend,Done,"Tasks to fulfill architectural decision ADR-0183. Focus on: Integrate RabbitMQ to enable asynchronous, event-driven communication between fusionerp-frontend and downstream microservices.",PRJ-019,EMP-019,ADR-0183,Sprint-2022-W52,Medium,"[""FF18-24""]",2023-01-05,2023-01-11
IA7-23,Epic,Epic: Implement Redis cache layer for insightcrm-api,Done,Implementation of decision in ADR-0184. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-008,EMP-124,ADR-0184,Sprint-2022-W52,Low,[],2023-01-02,2023-02-01
IA7-24,Story,Implement Redis backend service in insightcrm-api,Done,Tasks to fulfill architectural decision ADR-0184. Focus on: Implement Redis as a distributed caching layer for insightcrm-api endpoints.,PRJ-008,EMP-250,ADR-0184,Sprint-2022-W52,Low,"[""IA7-23""]",2023-01-04,2023-01-15
IA7-25,Task,Configure deployment pipelines for Redis on insightcrm-api,Done,Tasks to fulfill architectural decision ADR-0184. Focus on: Implement Redis as a distributed caching layer for insightcrm-api endpoints.,PRJ-008,EMP-041,ADR-0184,Sprint-2022-W52,Low,"[""IA7-23""]",2023-01-04,2023-01-10
CD12-25,Epic,Epic: Introduce Kafka for decoupled communications in cloudsync-desktop,Done,Implementation of decision in ADR-0185. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-013,EMP-141,ADR-0185,Sprint-2022-W52,Low,[],2023-01-03,2023-02-02
CD12-26,Story,Implement Kafka backend service in cloudsync-desktop,Done,"Tasks to fulfill architectural decision ADR-0185. Focus on: Integrate Kafka to enable asynchronous, event-driven communication between cloudsync-desktop and downstream microservices.",PRJ-013,EMP-156,ADR-0185,Sprint-2022-W52,Low,"[""CD12-25""]",2023-01-08,2023-01-19
CD12-27,Task,Configure deployment pipelines for Kafka on cloudsync-desktop,Done,"Tasks to fulfill architectural decision ADR-0185. Focus on: Integrate Kafka to enable asynchronous, event-driven communication between cloudsync-desktop and downstream microservices.",PRJ-013,EMP-106,ADR-0185,Sprint-2022-W52,Low,"[""CD12-25""]",2023-01-07,2023-01-13
AG4-23,Spike,Spike: Evaluate options for Implement Redis cache layer,Done,"Research spiked for Implement Redis cache layer for atlaspay-gateway. Alternatives considered: 1. Add read replicas to the primary database.
2. Use in-memory application caching.
3. Deploy a centralized Redis caching cluster.",PRJ-005,EMP-100,ADR-0186,Sprint-2022-W52,Low,[],2022-12-25,2023-01-05
AG4-24,Epic,Epic: Implement Redis cache layer for atlaspay-gateway,Done,Implementation of decision in ADR-0186. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-005,EMP-057,ADR-0186,Sprint-2022-W52,Low,[],2023-01-05,2023-02-04
AG4-25,Story,Implement Redis backend service in atlaspay-gateway,Done,Tasks to fulfill architectural decision ADR-0186. Focus on: Implement Redis as a distributed caching layer for atlaspay-gateway endpoints.,PRJ-005,EMP-135,ADR-0186,Sprint-2022-W52,Low,"[""AG4-24""]",2023-01-10,2023-01-23
AG4-26,Task,Configure deployment pipelines for Redis on atlaspay-gateway,Done,Tasks to fulfill architectural decision ADR-0186. Focus on: Implement Redis as a distributed caching layer for atlaspay-gateway endpoints.,PRJ-005,EMP-083,ADR-0186,Sprint-2022-W52,Low,"[""AG4-24""]",2023-01-07,2023-01-17
AG4-27,Task,Configure deployment pipelines for Redis on atlaspay-gateway,Done,Tasks to fulfill architectural decision ADR-0186. Focus on: Implement Redis as a distributed caching layer for atlaspay-gateway endpoints.,PRJ-005,EMP-083,ADR-0186,Sprint-2022-W52,Low,"[""AG4-24""]",2023-01-06,2023-01-12
NC2-41,Epic,Epic: Introduce Kafka for decoupled communications in novacommerce-cart,Done,Implementation of decision in ADR-0187. Expected benefits: Cascading failures are avoided; service availability increases to 99.99%; peak traffic load is smoothed.,PRJ-003,EMP-029,ADR-0187,Sprint-2022-W52,Medium,[],2023-01-05,2023-02-04
NC2-42,Story,Implement Kafka backend service in novacommerce-cart,Done,"Tasks to fulfill architectural decision ADR-0187. Focus on: Integrate Kafka to enable asynchronous, event-driven communication between novacommerce-cart and downstream microservices.",PRJ-003,EMP-039,ADR-0187,Sprint-2022-W52,Medium,"[""NC2-41""]",2023-01-08,2023-01-11
NC2-43,Task,Configure deployment pipelines for Kafka on novacommerce-cart,Done,"Tasks to fulfill architectural decision ADR-0187. Focus on: Integrate Kafka to enable asynchronous, event-driven communication between novacommerce-cart and downstream microservices.",PRJ-003,EMP-175,ADR-0187,Sprint-2022-W52,Medium,"[""NC2-41""]",2023-01-10,2023-01-20
IA9-28,Spike,Spike: Evaluate options for Adopt DynamoDB,Done,"Research spiked for Adopt DynamoDB for insightcrm-analytics database storage. Alternatives considered: 1. Scale vertical resources on existing systems.
2. Implement a distributed cache layer (e.g. Redis) as a buffer.
3. Migrate to a multi-master distributed DB like DynamoDB.",PRJ-010,EMP-176,ADR-0188,Sprint-2022-W52,High,[],2022-12-31,2023-01-06
IA9-29,Epic,Epic: Adopt DynamoDB for insightcrm-analytics database storage,Done,"Implementation of decision in ADR-0188. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-010,EMP-044,ADR-0188,Sprint-2022-W52,High,[],2023-01-06,2023-02-05
IA9-30,Story,Implement DynamoDB backend service in insightcrm-analytics,Done,Tasks to fulfill architectural decision ADR-0188. Focus on: Migrate the primary storage of insightcrm-analytics to DynamoDB to leverage its native scaling and high availability features.,PRJ-010,EMP-239,ADR-0188,Sprint-2022-W52,High,"[""IA9-29""]",2023-01-08,2023-01-13
IA9-31,Task,Configure deployment pipelines for DynamoDB on insightcrm-analytics,Done,Tasks to fulfill architectural decision ADR-0188. Focus on: Migrate the primary storage of insightcrm-analytics to DynamoDB to leverage its native scaling and high availability features.,PRJ-010,EMP-239,ADR-0188,Sprint-2022-W52,High,"[""IA9-29""]",2023-01-11,2023-01-20
PKM-14,Epic,Epic: Adopt MySQL for platform-k8s-mesh database storage,Done,"Implementation of decision in ADR-0189. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-020,EMP-136,ADR-0189,Sprint-2022-W52,Low,[],2023-01-07,2023-02-06
PKM-15,Story,Implement MySQL backend service in platform-k8s-mesh,Done,Tasks to fulfill architectural decision ADR-0189. Focus on: Migrate the primary storage of platform-k8s-mesh to MySQL to leverage its native scaling and high availability features.,PRJ-020,EMP-204,ADR-0189,Sprint-2022-W52,Low,"[""PKM-14""]",2023-01-10,2023-01-18
PM21-29,Spike,Spike: Evaluate options for Implement Redis cache layer,Done,"Research spiked for Implement Redis cache layer for platform-monitoring. Alternatives considered: 1. Add read replicas to the primary database.
2. Use in-memory application caching.
3. Deploy a centralized Redis caching cluster.",PRJ-022,EMP-214,ADR-0190,Sprint-2023-W02,Critical,[],2023-01-04,2023-01-19
PM21-30,Epic,Epic: Implement Redis cache layer for platform-monitoring,Done,Implementation of decision in ADR-0190. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-022,EMP-151,ADR-0190,Sprint-2023-W02,Critical,[],2023-01-19,2023-02-18
PM21-31,Story,Implement Redis backend service in platform-monitoring,Done,Tasks to fulfill architectural decision ADR-0190. Focus on: Implement Redis as a distributed caching layer for platform-monitoring endpoints.,PRJ-022,EMP-171,ADR-0190,Sprint-2023-W02,Critical,"[""PM21-30""]",2023-01-21,2023-01-28
PM21-32,Task,Configure deployment pipelines for Redis on platform-monitoring,Done,Tasks to fulfill architectural decision ADR-0190. Focus on: Implement Redis as a distributed caching layer for platform-monitoring endpoints.,PRJ-022,EMP-121,ADR-0190,Sprint-2023-W02,Critical,"[""PM21-30""]",2023-01-23,2023-01-28
PM21-33,Task,Configure deployment pipelines for Redis on platform-monitoring,Done,Tasks to fulfill architectural decision ADR-0190. Focus on: Implement Redis as a distributed caching layer for platform-monitoring endpoints.,PRJ-022,EMP-137,ADR-0190,Sprint-2023-W02,Critical,"[""PM21-30""]",2023-01-24,2023-02-05
CD10-23,Spike,Spike: Evaluate options for Migrate cloudsync-daemon frontend architecture to Svelte,Done,"Research spiked for Migrate cloudsync-daemon frontend architecture to Svelte. Alternatives considered: 1. Refactor the existing legacy code and optimize bundle sizes.
2. Migrate to Vanilla JS and web components.
3. Rebuild the frontend using Svelte.",PRJ-011,EMP-024,ADR-0191,Sprint-2023-W02,Low,[],2023-01-08,2023-01-19
CD10-24,Epic,Epic: Migrate cloudsync-daemon frontend architecture to Svelte,Done,Implementation of decision in ADR-0191. Expected benefits: First Contentful Paint (FCP) improved from 4s to 1.2s; developer velocity increased.,PRJ-011,EMP-046,ADR-0191,Sprint-2023-W02,Low,[],2023-01-19,2023-02-18
CD10-25,Story,Implement Svelte backend service in cloudsync-daemon,Done,Tasks to fulfill architectural decision ADR-0191. Focus on: Rebuild and migrate the UI for cloudsync-daemon to Svelte.,PRJ-011,EMP-013,ADR-0191,Sprint-2023-W02,Low,"[""CD10-24""]",2023-01-21,2023-01-25
CD10-26,Task,Configure deployment pipelines for Svelte on cloudsync-daemon,Done,Tasks to fulfill architectural decision ADR-0191. Focus on: Rebuild and migrate the UI for cloudsync-daemon to Svelte.,PRJ-011,EMP-085,ADR-0191,Sprint-2023-W02,Low,"[""CD10-24""]",2023-01-20,2023-01-23
CD10-27,Task,Configure deployment pipelines for Svelte on cloudsync-daemon,Done,Tasks to fulfill architectural decision ADR-0191. Focus on: Rebuild and migrate the UI for cloudsync-daemon to Svelte.,PRJ-011,EMP-013,ADR-0191,Sprint-2023-W02,Low,"[""CD10-24""]",2023-01-24,2023-01-31
IA7-26,Spike,Spike: Evaluate options for Adopt DynamoDB,Done,"Research spiked for Adopt DynamoDB for insightcrm-api database storage. Alternatives considered: 1. Scale vertical resources on existing systems.
2. Implement a distributed cache layer (e.g. Redis) as a buffer.
3. Migrate to a multi-master distributed DB like DynamoDB.",PRJ-008,EMP-050,ADR-0192,Sprint-2023-W02,Low,[],2023-01-10,2023-01-23
IA7-27,Epic,Epic: Adopt DynamoDB for insightcrm-api database storage,Done,"Implementation of decision in ADR-0192. Expected benefits: Reduced query latency by 50%, elimination of connection pool exhaustion incidents, and support for 5x current transaction volume.",PRJ-008,EMP-046,ADR-0192,Sprint-2023-W02,Low,[],2023-01-23,2023-02-22
IA7-28,Story,Implement DynamoDB backend service in insightcrm-api,Done,Tasks to fulfill architectural decision ADR-0192. Focus on: Migrate the primary storage of insightcrm-api to DynamoDB to leverage its native scaling and high availability features.,PRJ-008,EMP-119,ADR-0192,Sprint-2023-W02,Low,"[""IA7-27""]",2023-01-28,2023-02-11
IA7-29,Task,Configure deployment pipelines for DynamoDB on insightcrm-api,Done,Tasks to fulfill architectural decision ADR-0192. Focus on: Migrate the primary storage of insightcrm-api to DynamoDB to leverage its native scaling and high availability features.,PRJ-008,EMP-239,ADR-0192,Sprint-2023-W02,Low,"[""IA7-27""]",2023-01-27,2023-02-05
DCC-26,Epic,Epic: Use AWS ECS to deploy devops-ci-cd to AWS,Done,Implementation of decision in ADR-0193. Expected benefits: Deployment time down from 40m to under 5m; auto-scaling responds to traffic load in under 2m.,PRJ-025,EMP-046,ADR-0193,Sprint-2023-W02,Low,[],2023-01-23,2023-02-22
DCC-27,Story,Implement AWS ECS backend service in devops-ci-cd,Done,"Tasks to fulfill architectural decision ADR-0193. Focus on: Standardize all microservice deployments, starting with devops-ci-cd, on AWS ECS hosted on AWS.",PRJ-025,EMP-229,ADR-0193,Sprint-2023-W02,Low,"[""DCC-26""]",2023-01-26,2023-02-05
VT14-39,Epic,Epic: Use AWS ECS to deploy visionai-training to AWS,Done,Implementation of decision in ADR-0194. Expected benefits: Deployment time down from 40m to under 5m; auto-scaling responds to traffic load in under 2m.,PRJ-015,EMP-077,ADR-0194,Sprint-2023-W02,High,[],2023-01-24,2023-02-23
VT14-40,Story,Implement AWS ECS backend service in visionai-training,Done,"Tasks to fulfill architectural decision ADR-0194. Focus on: Standardize all microservice deployments, starting with visionai-training, on AWS ECS hosted on AWS.",PRJ-015,EMP-089,ADR-0194,Sprint-2023-W02,High,"[""VT14-39""]",2023-01-27,2023-02-09
AG4-28,Spike,Spike: Evaluate options for Migrate atlaspay-gateway frontend architecture to Svelte,Done,"Research spiked for Migrate atlaspay-gateway frontend architecture to Svelte. Alternatives considered: 1. Refactor the existing legacy code and optimize bundle sizes.
2. Migrate to Vanilla JS and web components.
3. Rebuild the frontend using Svelte.",PRJ-005,EMP-162,ADR-0195,Sprint-2023-W04,High,[],2023-01-18,2023-02-01
AG4-29,Epic,Epic: Migrate atlaspay-gateway frontend architecture to Svelte,Done,Implementation of decision in ADR-0195. Expected benefits: First Contentful Paint (FCP) improved from 4s to 1.2s; developer velocity increased.,PRJ-005,EMP-114,ADR-0195,Sprint-2023-W04,High,[],2023-02-01,2023-03-03
AG4-30,Story,Implement Svelte backend service in atlaspay-gateway,Done,Tasks to fulfill architectural decision ADR-0195. Focus on: Rebuild and migrate the UI for atlaspay-gateway to Svelte.,PRJ-005,EMP-011,ADR-0195,Sprint-2023-W04,High,"[""AG4-29""]",2023-02-02,2023-02-07
AG4-31,Task,Configure deployment pipelines for Svelte on atlaspay-gateway,Done,Tasks to fulfill architectural decision ADR-0195. Focus on: Rebuild and migrate the UI for atlaspay-gateway to Svelte.,PRJ-005,EMP-207,ADR-0195,Sprint-2023-W04,High,"[""AG4-29""]",2023-02-04,2023-02-18
AG4-32,Task,Configure deployment pipelines for Svelte on atlaspay-gateway,Done,Tasks to fulfill architectural decision ADR-0195. Focus on: Rebuild and migrate the UI for atlaspay-gateway to Svelte.,PRJ-005,EMP-125,ADR-0195,Sprint-2023-W04,High,"[""AG4-29""]",2023-02-03,2023-02-11
IA7-30,Spike,Spike: Evaluate options for Implement Redis cache layer,Done,"Research spiked for Implement Redis cache layer for insightcrm-api. Alternatives considered: 1. Add read replicas to the primary database.
2. Use in-memory application caching.
3. Deploy a centralized Redis caching cluster.",PRJ-008,EMP-106,ADR-0196,Sprint-2023-W04,Medium,[],2023-01-31,2023-02-07
IA7-31,Epic,Epic: Implement Redis cache layer for insightcrm-api,Done,Implementation of decision in ADR-0196. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-008,EMP-064,ADR-0196,Sprint-2023-W04,Medium,[],2023-02-07,2023-03-09
IA7-32,Story,Implement Redis backend service in insightcrm-api,Done,Tasks to fulfill architectural decision ADR-0196. Focus on: Implement Redis as a distributed caching layer for insightcrm-api endpoints.,PRJ-008,EMP-250,ADR-0196,Sprint-2023-W04,Medium,"[""IA7-31""]",2023-02-09,2023-02-12
IA7-33,Task,Configure deployment pipelines for Redis on insightcrm-api,Done,Tasks to fulfill architectural decision ADR-0196. Focus on: Implement Redis as a distributed caching layer for insightcrm-api endpoints.,PRJ-008,EMP-250,ADR-0196,Sprint-2023-W04,Medium,"[""IA7-31""]",2023-02-11,2023-02-19
FC16-11,Epic,Epic: Use Kubernetes to deploy fusionerp-core to AWS,Done,Implementation of decision in ADR-0197. Expected benefits: Deployment time down from 40m to under 5m; auto-scaling responds to traffic load in under 2m.,PRJ-017,EMP-029,ADR-0197,Sprint-2023-W04,Low,[],2023-02-07,2023-03-09
FC16-12,Story,Implement Kubernetes backend service in fusionerp-core,Done,"Tasks to fulfill architectural decision ADR-0197. Focus on: Standardize all microservice deployments, starting with fusionerp-core, on Kubernetes hosted on AWS.",PRJ-017,EMP-069,ADR-0197,Sprint-2023-W04,Low,"[""FC16-11""]",2023-02-08,2023-02-13
AP6-33,Spike,Spike: Evaluate options for Implement Redis cache layer,Done,"Research spiked for Implement Redis cache layer for atlaspay-portal. Alternatives considered: 1. Add read replicas to the primary database.
2. Use in-memory application caching.
3. Deploy a centralized Redis caching cluster.",PRJ-007,EMP-060,ADR-0198,Sprint-2023-W04,Medium,[],2023-02-03,2023-02-08
AP6-34,Epic,Epic: Implement Redis cache layer for atlaspay-portal,Done,Implementation of decision in ADR-0198. Expected benefits: Endpoint latency reduced by up to 80%; database read IOPS reduced by 60%.,PRJ-007,EMP-139,ADR-0198,Sprint-2023-W04,Medium,[],2023-02-08,2023-03-10
